time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,368,133,18,12,11,1,2,4,96,229
2020-05-05,06019-1,06019,1,diffI,84,30,3,2,2,0,1,0,96,230
2020-05-05,36005-1,36005,1,diffI,97,40,1,0,4,0,0,0,96,231
2020-05-05,36081-1,36081,1,diffI,0,0,0,2,0,0,1,0,96,232
2020-05-06,06085-1,06085,1,diffI,348,133,17,11,13,1,0,0,97,229
2020-05-06,06019-1,06019,1,diffI,74,28,3,1,0,1,0,0,97,230
2020-05-06,36005-1,36005,1,diffI,89,40,1,0,2,0,0,0,97,231
2020-05-06,36081-1,36081,1,diffI,0,0,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,368,133,14,8,9,1,0,0,98,229
2020-05-07,06019-1,06019,1,diffI,81,31,3,1,3,0,0,0,98,230
2020-05-07,36005-1,36005,1,diffI,106,46,2,0,9,1,0,0,98,231
2020-05-07,36081-1,36081,1,diffI,0,0,0,0,0,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,346,136,15,5,12,4,0,1,99,229
2020-05-08,06019-1,06019,1,diffI,91,32,3,1,2,0,0,0,99,230
2020-05-08,36005-1,36005,1,diffI,126,48,2,0,5,0,0,0,99,231
2020-05-08,36081-1,36081,1,diffI,0,0,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,370,140,17,6,14,3,2,2,100,229
2020-05-09,06019-1,06019,1,diffI,83,36,3,1,5,0,0,0,100,230
2020-05-09,36005-1,36005,1,diffI,127,50,3,0,3,1,0,0,100,231
2020-05-09,36081-1,36081,1,diffI,1,0,0,0,0,0,0,0,100,232
