time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,19124,1298,109,43,200,18,6,1,96,229
2020-05-05,6019-1,6019,1,diffI,2379,148,11,3,24,2,0,0,96,230
2020-05-05,36005-1,36005,1,diffI,1362,106,14,3,20,3,0,0,96,231
2020-05-05,36081-1,36081,1,diffI,8,0,0,0,0,0,0,0,96,232
2020-05-06,06085-1,06085,1,diffI,21012,1450,124,42,221,28,6,3,97,229
2020-05-06,6019-1,6019,1,diffI,2576,170,11,4,31,1,2,2,97,230
2020-05-06,36005-1,36005,1,diffI,1503,117,15,5,15,3,2,0,97,231
2020-05-06,36081-1,36081,1,diffI,8,0,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,23120,1615,139,42,251,32,10,3,98,229
2020-05-07,6019-1,6019,1,diffI,2808,200,17,5,34,6,1,1,98,230
2020-05-07,36005-1,36005,1,diffI,1688,140,14,6,30,1,2,0,98,231
2020-05-07,36081-1,36081,1,diffI,13,0,0,0,0,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,25512,1836,164,49,276,34,12,1,99,229
2020-05-08,6019-1,6019,1,diffI,3169,231,21,7,38,4,2,1,99,230
2020-05-08,36005-1,36005,1,diffI,1876,151,14,4,20,4,0,0,99,231
2020-05-08,36081-1,36081,1,diffI,7,0,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,27668,2060,177,64,309,22,19,4,100,229
2020-05-09,6019-1,6019,1,diffI,3463,274,25,8,50,5,1,0,100,230
2020-05-09,36005-1,36005,1,diffI,2053,175,14,5,32,1,1,0,100,231
2020-05-09,36081-1,36081,1,diffI,13,0,0,0,0,0,0,0,100,232
