time,uid,geoid,sim_num,comp,incidI,hosp_curr,icu_curr,vent_curr,incidH,incidICU,incidVent,incidD,date_inds,geo_ind
2020-05-05,06085-1,06085,1,diffI,19124,2662,212,63,440,44,21,5,96,229
2020-05-05,06019-1,06019,1,diffI,2379,352,37,16,50,6,4,1,96,230
2020-05-05,36005-1,36005,1,diffI,1362,217,18,7,41,4,0,0,96,231
2020-05-05,36081-1,36081,1,diffI,8,1,1,0,0,0,0,0,96,232
2020-05-06,06085-1,06085,1,diffI,21012,2985,269,78,457,70,19,3,97,229
2020-05-06,06019-1,06019,1,diffI,2576,396,45,18,60,11,4,0,97,230
2020-05-06,36005-1,36005,1,diffI,1503,244,21,8,39,6,1,1,97,231
2020-05-06,36081-1,36081,1,diffI,8,0,0,0,0,0,0,0,97,232
2020-05-07,06085-1,06085,1,diffI,23120,3341,301,104,504,49,33,7,98,229
2020-05-07,06019-1,06019,1,diffI,2808,434,55,22,53,10,4,2,98,230
2020-05-07,36005-1,36005,1,diffI,1688,272,27,9,41,9,4,1,98,231
2020-05-07,36081-1,36081,1,diffI,13,0,0,0,0,0,0,0,98,232
2020-05-08,06085-1,06085,1,diffI,25512,3765,341,117,560,59,19,9,99,229
2020-05-08,06019-1,06019,1,diffI,3169,488,57,24,78,7,5,1,99,230
2020-05-08,36005-1,36005,1,diffI,1876,308,33,12,44,7,4,0,99,231
2020-05-08,36081-1,36081,1,diffI,7,0,0,0,0,0,0,0,99,232
2020-05-09,06085-1,06085,1,diffI,27668,4268,397,137,637,78,28,9,100,229
2020-05-09,06019-1,06019,1,diffI,3463,549,63,26,79,9,4,0,100,230
2020-05-09,36005-1,36005,1,diffI,2053,346,37,13,49,6,2,1,100,231
2020-05-09,36081-1,36081,1,diffI,13,0,0,0,3,0,0,2,100,232
